time,x,y,z,yaw
163645100.201837003231049,-26047.521120000001247,-92907.975709999998799,-5.726860000000000,2.097020000000000
163645100.301836997270584,-26048.357189999998809,-92906.533540000003995,-5.719110000000000,2.095490000000000
163645100.401836991310120,-26049.190979999999399,-92905.090060000002268,-5.710820000000000,2.093840000000000
163645100.501836985349655,-26050.022089999998570,-92903.645019999996293,-5.700500000000000,2.091770000000000
163645100.602836996316910,-26050.849730000001728,-92902.198000000003958,-5.688060000000000,2.089090000000000
163645100.701837003231049,-26051.673050000001240,-92900.748510000004899,-5.674490000000000,2.085860000000000
163645100.801836013793945,-26052.491200000000390,-92899.296080000000075,-5.660960000000000,2.081980000000000
163645100.901836007833481,-26053.303100000000995,-92897.840179999999236,-5.648340000000000,2.077380000000000
163645101.000836014747620,-26054.107889999999315,-92896.380340000003343,-5.636050000000000,2.072350000000000
163645101.100836008787155,-26054.905230000000302,-92894.916379999995115,-5.622380000000000,2.067160000000000
163645101.200836002826691,-26055.694719999999506,-92893.448210000002291,-5.606770000000000,2.061660000000000
163645101.300835996866226,-26056.475679999999556,-92891.975460000001476,-5.590540000000000,2.055590000000000
163645101.401836007833481,-26057.247070000001258,-92890.497709999996005,-5.575410000000000,2.048730000000000
163645101.500836014747620,-26058.007570000001579,-92889.014309999998659,-5.561320000000000,2.040950000000000
163645101.600836008787155,-26058.755860000001121,-92887.524749999996857,-5.546090000000000,2.032440000000000
163645101.700836002826691,-26059.491119999998773,-92886.028690000006463,-5.528350000000000,2.023620000000000
163645101.801835000514984,-26060.213149999999587,-92884.526219999999739,-5.507450000000000,2.014820000000000
163645101.901834994554520,-26060.922009999998409,-92883.017489999998361,-5.479770000000000,2.006090000000000
163645102.000835001468658,-26061.617460000001302,-92881.502500000002328,-5.441110000000000,1.997020000000000
163645102.101835012435913,-26062.298490000001038,-92879.981020000006538,-5.393550000000000,1.987140000000000
163645102.200834989547729,-26062.963790000001609,-92878.452579999997397,-5.343860000000000,1.976510000000000
163645102.300835013389587,-26063.612369999998919,-92876.916989999997895,-5.295730000000000,1.965400000000000
163645102.400835007429123,-26064.243620000001101,-92875.374179999998887,-5.248580000000000,1.954080000000000
163645102.500835001468658,-26064.857439999999769,-92873.824370000002091,-5.201290000000000,1.942870000000000
163645102.601835012435913,-26065.454099999999016,-92872.267850000003818,-5.152770000000000,1.932000000000000
163645102.701835006475449,-26066.034090000001015,-92870.705050000004121,-5.098170000000000,1.921380000000000
163645102.801835000514984,-26066.597340000000258,-92869.136140000002342,-5.031860000000000,1.910570000000000
163645102.900833994150162,-26067.143169999999373,-92867.561100000006263,-4.956790000000000,1.899300000000000
163645103.001834005117416,-26067.671099999999569,-92865.979949999993551,-4.881360000000000,1.887980000000000
163645103.100834012031555,-26068.181469999999536,-92864.393070000005537,-4.808290000000000,1.877110000000000
163645103.200834006071091,-26068.674770000001445,-92862.800780000005034,-4.733210000000000,1.866390000000000
163645103.301833987236023,-26069.150740000000951,-92861.203219999995781,-4.650340000000000,1.855350000000000
163645103.401834011077881,-26069.608660000001692,-92859.600399999995716,-4.558540000000000,1.843890000000000
163645103.501834005117416,-26070.047930000000633,-92857.992400000002817,-4.463070000000000,1.832210000000000
163645103.601833999156952,-26070.468479999999545,-92856.379360000006272,-4.369970000000000,1.820670000000000
163645103.700834006071091,-26070.870620000001509,-92854.761660000003758,-4.279010000000000,1.809370000000000
163645103.800834000110626,-26071.254529999998340,-92853.139530000000377,-4.186240000000000,1.798130000000000
163645103.900833010673523,-26071.620090000000346,-92851.513149999998859,-4.090470000000000,1.786750000000000
163645104.001832991838455,-26071.966980000001058,-92849.882689999998547,-3.992430000000000,1.775260000000000
163645104.101832985877991,-26072.295150000001740,-92848.248380000004545,-3.893060000000000,1.763830000000000
163645104.200832992792130,-26072.604800000000978,-92846.610440000004019,-3.793380000000000,1.752600000000000
163645104.301833003759384,-26072.896329999999580,-92844.969180000000051,-3.693710000000000,1.741750000000000
163645104.401832997798920,-26073.170819999999367,-92843.324980000004871,-3.594370000000000,1.731910000000000
163645104.500833004713058,-26073.430420000000595,-92841.678350000001956,-3.496180000000000,1.723470000000000
163645104.601832985877991,-26073.676989999999932,-92840.029689999995753,-3.400960000000000,1.715870000000000
163645104.700832992792130,-26073.911329999998998,-92838.379270000004908,-3.308840000000000,1.708590000000000
163645104.801833003759384,-26074.133849999998347,-92836.727230000004056,-3.217410000000000,1.701520000000000
163645104.901832997798920,-26074.344860000001063,-92835.073669999997946,-3.125960000000000,1.694640000000000
163645105.001832008361816,-26074.544679999999062,-92833.418699999994715,-3.033500000000000,1.687980000000000
163645105.101832002401352,-26074.733840000000782,-92831.762480000004871,-2.937720000000000,1.681800000000000
163645105.201831996440887,-26074.913479999999254,-92830.105190000002040,-2.837500000000000,1.676410000000000
163645105.301831990480423,-26075.084549999999581,-92828.447020000006887,-2.733590000000000,1.671260000000000
163645105.401832014322281,-26075.246749999998428,-92826.787930000005872,-2.628290000000000,1.665770000000000
163645105.501832008361816,-26075.400050000000192,-92825.127989999993588,-2.525100000000000,1.660640000000000
163645105.601832002401352,-26075.545519999999669,-92823.467380000001867,-2.425210000000000,1.656240000000000
163645105.701831996440887,-26075.683990000001359,-92821.806150000003981,-2.325480000000000,1.652090000000000
163645105.802832007408142,-26075.815480000001116,-92820.144350000002305,-2.225820000000000,1.647800000000000
163645105.901832014322281,-26075.939450000001671,-92818.481960000004619,-2.130870000000000,1.643050000000000
163645106.001830995082855,-26076.055140000000392,-92816.819000000003143,-2.042960000000000,1.637960000000000
163645106.101830989122391,-26076.162410000000818,-92815.155459999994491,-1.958410000000000,1.632920000000000
163645106.201831012964249,-26076.261149999998452,-92813.491389999995590,-1.871040000000000,1.627680000000000
